364950;Kassandra;2013;Brazil;1;1
435569;M Is for Mess;2013;Brazil;1;0
441457;Mal Passado;2013;Brazil;1;1
445786;Mar Negro;2013;Brazil;1;0
507248;O Castelo;2013;Brazil;1;1
508589;O Rio nos Pertence;2013;Brazil;0;1
530821;Pandemonia;2013;Brazil;1;0
594936;Ruido Branco;2013;Brazil;0;1
597323;S.W. Metaxu-seq.01;2013;Brazil;1;0
630640;Sinal;2013;Brazil;0;1
634675;Slaughterhouse 2: Prelude;2013;Brazil;1;0
134786;Chiaroscuro;2014;Brazil;0;1
166113;Dark Amazon;2014;Brazil;1;1
246622;Flerte;2014;Brazil;0;1
263282;Gata Velha Ainda Mia;2014;Brazil;0;1
341606;Isolados;2014;Brazil;1;1
353471;Jogo de Xadrez;2014;Brazil;0;1
353472;Jogo do Copo;2014;Brazil;1;1
507599;O Estripador da Rua Augusta;2014;Brazil;1;1
508648;O Segredo da Familia Urso;2014;Brazil;1;0
562687;Prometo um Dia Deixar Essa Cidade;2014;Brazil;0;1
568334;Quando Eu Era Vivo;2014;Brazil;1;1
11668;A Capital dos Mortos 2: Mundo Morto;2015;Brazil;1;0
15607;A Floresta Que Se Move;2015;Brazil;0;1
20816;A Morte de J.P. Cuenca;2015;Brazil;0;1
118963;Cabrito;2015;Brazil;1;0
128889;Cenatrofiasse;2015;Brazil;0;1
132516;Chasing Robert Barker;2015;Brazil;0;1
140437;Cinzento e Negro;2015;Brazil;0;1
141998;Clarisse or something about us;2015;Brazil;1;0
142198;Classroom 6;2015;Brazil;1;0
149531;Condado Macabro;2015;Brazil;1;1
219365;Embarrassment;2015;Brazil;1;0
227698;Eu Nunca;2015;Brazil;0;1
246623;Flerte;2015;Brazil;1;0
339541;Invoked;2015;Brazil;1;1
354640;Jonas;2015;Brazil;0;1
507425;O Deus Neon;2015;Brazil;0;1
507463;O Diabo Mora Aqui;2015;Brazil;1;1
508693;O Sinaleiro;2015;Brazil;0;1
532718;Para Minha Amada Morta;2015;Brazil;0;1
770213;The VVitch: A New-England Folktale;2015;Brazil;1;0
819052;Vazio;2015;Brazil;0;1
9148;702;2016;Brazil;0;1
17441;A Hora do Morfeu;2016;Brazil;1;1
162501;Dagger of Adultery;2016;Brazil;0;1
219264;Em Nome da Lei;2016;Brazil;0;1
235710;FantastiCozzi;2016;Brazil;1;0
400076;Lasiurus;2016;Brazil;1;0
418797;Lilith's Awakening;2016;Brazil;1;1
507239;O Caseiro;2016;Brazil;0;1
584672;Reza a Lenda;2016;Brazil;0;1
600018;Sal;2016;Brazil;0;1
814507;Uptake Fear;2016;Brazil;1;1
191412;Discreet;2017;Brazil;0;1
398077;Lamparina da Aurora;2017;Brazil;0;1
441455;Mal Nosso;2017;Brazil;1;1
504477;Noturno;2017;Brazil;0;1
507454;O Dia que Durou 21 Anos;2017;Brazil;0;1
508535;O Rastro;2017;Brazil;1;1
521310;Operation Carwash: A Worldwide Corruption Scandal Made in Brazil;2017;Brazil;0;1
678435;Terra e Luz;2017;Brazil;1;0
862213;Z.A.N.;2017;Brazil;1;0
